,artist_name,end_time,ms_played,track_name,track_id
213,awfultune,2022-05-06 22:09,121374,I Met Sarah in the Bathroom,0mr8FAnN9X70p5KRUwMIJx
214,USERx,2022-05-06 22:14,260706,My Body Left My Soul (feat. Pusha T),6Arc3cFHtzrT3M2l4cxJPd
215,maxime.,2022-05-06 22:16,146000,the apathy song,6L4BJnZqC8s77W0yqHYes6
216,Lund,2022-05-06 22:20,233962,Low,5RLDbZPiqULNl4cr17eoIV
217,Finn,2022-05-06 22:25,273059,In Luv With U,40XwcZVS7Oh7VvBuOWrgkk
218,boylife,2022-05-06 22:29,234645,peas,6DXRUAHQTwJuCXuhXyRU53
219,New Friends,2022-05-06 22:33,255847,Purple Candy,6Nw8yJrwuuGalE9FPejPuZ
220,Bryce Bishop,2022-05-06 22:35,111428,Como,1PlpqiiRCgwODO0Uum6f2Q
221,M83,2022-05-06 22:40,343253,Wait,3rTnGUeDrnZV22DvRuUuXr
222,WILLOW,2022-05-06 22:44,196520,Wait a Minute!,0y60itmpH0aPKsFiGxmtnh
223,Harry Styles,2022-05-06 22:50,377960,Fine Line,6VzcQuzTNTMFnJ6rBSaLH9
224,Clarence James,2022-05-06 22:55,294165,Ronson Princess,2Xk3MunfpZwHSJktWNhRbz
225,93FEETOFSMOKE,2022-05-06 22:58,177777,cut the feedback!,6c8msRfUE1EnSul5P3ZO3O
226,BETWEEN FRIENDS,2022-05-06 23:02,235225,affection,2lTtnKQgjbrBA1qnOFhBkP
227,Glass Animals,2022-05-06 23:06,234372,Your Love (Déjà Vu),5DYD4zlGiFlkpLaf2Bk8Vl
228,Yeek,2022-05-06 23:08,128129,Cleaner Air,3uwrczwM9A3xX63jlcRhIC
229,Nafets,2022-05-06 23:11,174000,Hooped,66emkuEcHhtTIRtVilIgJp
230,Hippie Sabotage,2022-05-06 23:14,170387,Wrong Time,0TxPln0uhql4ucFGk1XISM
231,Rella,2022-05-06 23:16,159403,Memories,3BRZSGE2rDv4a6Nuemd3pA
232,Peachy!,2022-05-06 23:22,340036,II,5X2GscrIAqyPG2Ck8d7v15
233,Ouse,2022-05-06 23:25,207886,Pills,71FBF5VJg1yOf7LjxgBAXR
234,Anna Bates,2022-05-06 23:28,156813,Holy Smokes,5tdavyxilr2oXe80ZQe4vt
235,Kendrick Lamar,2022-05-06 23:33,313786,Swimming Pools (Drank) - Extended Version,5ujh1I7NZH5agbwf7Hp8Hc
236,K.Flay,2022-05-06 23:37,231600,High Enough,1qwno7xb5mJe71xtMS6jl2
237,AQVOL,2022-05-06 23:40,168827,Days,4X3wWGowie3pLRDOUC4XNA
238,50landing,2022-05-06 23:45,284101,heal,0WeFvEY2QEjcKVd8ymli4i
